product_id,product_name,category,subcategory,brand,mrp,shelf_life_days,lead_time_days
1,Fine,Furniture,Premium,Williams Sonoma,42026,30,21
2,Conference,Appliances,Premium,Williams Sonoma,674,180,14
3,Begin,Decor,Budget,Williams Sonoma,3653,90,21
4,Gun,Lighting,Budget,Williams Sonoma,15211,30,19
5,Brother,Lighting,Standard,Pottery Barn,41391,90,20
6,Find,Decor,Premium,Pottery Barn,36505,90,14
7,Wonder,Lighting,Budget,Pottery Barn,29073,90,18
8,Cup,Decor,Standard,Pottery Barn,35372,90,26
9,Nor,Decor,Budget,West Elm,33748,180,26
10,Term,Decor,Standard,Williams Sonoma,22866,180,15
11,Turn,Cookware,Premium,West Elm,27014,30,23
12,Worry,Furniture,Premium,Williams Sonoma,19609,180,21
13,Safe,Cookware,Standard,Pottery Barn,34707,90,13
14,Allow,Decor,Premium,Pottery Barn,20478,180,29
15,Trouble,Furniture,Standard,West Elm,34339,30,8
16,Factor,Decor,Premium,Williams Sonoma,16462,30,25
17,Receive,Cookware,Budget,West Elm,10050,180,19
18,Investment,Lighting,Budget,Pottery Barn,11983,180,13
19,Run,Lighting,Budget,Williams Sonoma,3296,90,12
20,Doctor,Appliances,Premium,Pottery Barn,48870,90,21
21,Staff,Lighting,Premium,Pottery Barn,24438,90,14
22,Suggest,Decor,Budget,West Elm,34836,180,8
23,Machine,Lighting,Budget,Williams Sonoma,12404,90,12
24,Take,Lighting,Budget,West Elm,4272,90,21
25,Television,Decor,Budget,Pottery Barn,16669,30,22
26,Memory,Lighting,Premium,Pottery Barn,4388,30,11
27,Camera,Appliances,Standard,Williams Sonoma,8494,90,24
28,Less,Lighting,Standard,West Elm,20832,30,14
29,Leg,Appliances,Budget,Williams Sonoma,28084,30,5
30,Factor,Decor,Budget,Pottery Barn,41913,30,8
31,Race,Decor,Premium,Williams Sonoma,35172,90,12
32,Nature,Cookware,Standard,Pottery Barn,10129,90,13
33,Democratic,Cookware,Standard,Williams Sonoma,30795,90,22
34,Thought,Furniture,Premium,Pottery Barn,9617,30,20
35,Message,Appliances,Premium,Williams Sonoma,29737,30,6
36,Month,Furniture,Budget,Williams Sonoma,29538,180,25
37,Group,Decor,Premium,Williams Sonoma,33244,90,11
38,Magazine,Decor,Premium,West Elm,6164,180,18
39,Simple,Lighting,Premium,Pottery Barn,26455,90,10
40,Show,Decor,Standard,West Elm,27217,180,18
41,Center,Decor,Premium,West Elm,15370,90,23
42,While,Cookware,Standard,Pottery Barn,22772,90,13
43,Within,Furniture,Budget,Williams Sonoma,5915,30,14
44,Treat,Lighting,Standard,Williams Sonoma,29996,30,27
45,Later,Appliances,Budget,Williams Sonoma,13699,180,12
46,Ground,Lighting,Budget,Pottery Barn,4548,30,7
47,Party,Cookware,Budget,Pottery Barn,15108,180,15
48,They,Cookware,Budget,Pottery Barn,29084,180,23
49,Parent,Furniture,Standard,West Elm,17906,30,6
50,Approach,Lighting,Standard,Williams Sonoma,35030,90,29
51,Republican,Lighting,Standard,West Elm,15128,30,17
52,Score,Lighting,Standard,Williams Sonoma,30624,30,12
53,If,Furniture,Budget,Pottery Barn,40027,180,20
54,Imagine,Appliances,Budget,West Elm,24851,90,22
55,Without,Appliances,Standard,Pottery Barn,48281,30,27
56,Step,Cookware,Premium,Williams Sonoma,10706,30,14
57,Data,Lighting,Premium,Pottery Barn,40670,30,17
58,Author,Appliances,Budget,West Elm,42984,30,7
59,Type,Decor,Standard,Williams Sonoma,48849,30,15
60,The,Cookware,Budget,Pottery Barn,26356,180,9
61,Meeting,Cookware,Standard,Williams Sonoma,6242,90,11
62,Executive,Appliances,Premium,Pottery Barn,45286,90,22
63,Of,Cookware,Standard,Pottery Barn,33873,180,17
64,Newspaper,Decor,Premium,West Elm,20132,90,23
65,She,Appliances,Premium,Pottery Barn,36654,180,29
66,Man,Lighting,Standard,Pottery Barn,15566,90,7
67,Window,Appliances,Standard,Pottery Barn,23396,180,25
68,Bed,Lighting,Standard,Pottery Barn,7985,30,26
69,Across,Cookware,Standard,Williams Sonoma,28906,30,15
70,When,Lighting,Premium,Williams Sonoma,27565,180,20
71,At,Lighting,Premium,West Elm,34801,180,13
72,Company,Cookware,Premium,Williams Sonoma,40412,180,20
73,Foreign,Lighting,Standard,Pottery Barn,29919,90,23
74,Sea,Furniture,Budget,West Elm,36516,180,19
75,Happy,Furniture,Budget,Pottery Barn,40048,90,25
76,Send,Appliances,Budget,Pottery Barn,11757,90,18
77,Movie,Cookware,Premium,Pottery Barn,11590,30,20
78,Region,Decor,Premium,Williams Sonoma,22875,180,14
79,Structure,Lighting,Budget,Pottery Barn,48550,90,5
80,Finally,Lighting,Budget,Williams Sonoma,43511,180,23
81,Experience,Lighting,Premium,Williams Sonoma,7709,30,8
82,Morning,Appliances,Standard,West Elm,24644,90,18
83,Cost,Decor,Budget,Williams Sonoma,12341,30,13
84,Quite,Cookware,Budget,Pottery Barn,18056,180,5
85,Up,Cookware,Budget,Pottery Barn,39177,30,16
86,Congress,Lighting,Standard,Williams Sonoma,49773,30,17
87,Discussion,Appliances,Standard,Pottery Barn,43692,30,12
88,Finally,Decor,Budget,West Elm,12833,30,11
89,Sound,Appliances,Premium,West Elm,37854,30,13
90,Ever,Cookware,Budget,Pottery Barn,18811,90,8
91,International,Appliances,Premium,West Elm,11496,90,23
92,Improve,Furniture,Premium,West Elm,21922,180,24
93,Business,Cookware,Standard,West Elm,27411,180,12
94,Relate,Appliances,Premium,Williams Sonoma,25723,180,18
95,Successful,Decor,Premium,Williams Sonoma,17193,90,20
96,I,Lighting,Standard,Williams Sonoma,34777,30,6
97,Particularly,Decor,Premium,Williams Sonoma,26894,180,23
98,Middle,Furniture,Budget,West Elm,40492,180,6
99,Marriage,Furniture,Premium,Pottery Barn,1203,90,20
100,What,Appliances,Budget,Pottery Barn,17121,90,28
101,Will,Decor,Premium,Pottery Barn,34368,30,16
102,Future,Lighting,Premium,Pottery Barn,46966,30,19
103,Tell,Appliances,Premium,Williams Sonoma,22154,180,17
104,Share,Lighting,Premium,Pottery Barn,37463,180,21
105,Power,Cookware,Premium,Pottery Barn,48770,90,18
106,Degree,Cookware,Premium,West Elm,24647,180,16
107,Position,Lighting,Premium,Pottery Barn,2057,90,5
108,Former,Cookware,Budget,Williams Sonoma,37256,90,8
109,Political,Furniture,Premium,Williams Sonoma,18022,180,25
110,Skill,Appliances,Premium,Williams Sonoma,32529,30,10
111,Mind,Furniture,Budget,Williams Sonoma,39814,180,27
112,Financial,Appliances,Standard,West Elm,10092,90,16
113,Among,Decor,Premium,Williams Sonoma,49234,90,20
114,Operation,Decor,Standard,Williams Sonoma,27237,30,7
115,Green,Lighting,Premium,Pottery Barn,44810,90,9
116,Often,Appliances,Premium,West Elm,10451,30,11
